SetName,Cycle,Time_S,Temperature_°C,X_Displacement_um,Y_Displacement_um,X_Force_mN,Y_Force_mN,X_MeasuredStrain_%,Y_MeasuredStrain_%
Precon1,1-Hold,27.6,23.8,13187,0,725,0,33.90849821,-8.132224355
Precon1,1-Hold,27.7,23.8,13187,0,723,2,33.91982159,-8.106904652
Precon1,1-Hold,27.8,23.8,13187,0,723,0,33.77949039,-8.101616884
Precon1,1-Hold,27.9,23.8,13187,0,722,1,33.94691016,-8.135405438
Precon1,1-Hold,28,23.8,13187,0,723,-2,34.03515399,-8.040789702
Precon1,1-Hold,28.1,23.8,13187,0,722,-2,33.81284183,-8.095734919
Precon1,1-Hold,28.2,23.8,13187,0,724,-5,33.82436941,-8.206771103
Precon1,1-Hold,28.3,23.8,13187,0,722,0,33.85088315,-8.11497691
Precon1,1-Hold,28.4,23.8,13187,0,722,-1,33.83275641,-8.071577391
Precon1,1-Hold,28.5,23.8,13187,0,720,0,33.89146868,-8.169758821
Precon1,1-Hold,28.6,23.8,13187,0,723,-1,33.88048291,-8.136309886
Precon1,1-Hold,28.7,23.8,13187,0,721,0,33.88448443,-8.022154919
Precon1,1-Hold,28.8,23.8,13187,0,719,-2,33.8589549,-8.074714358
Precon1,1-Hold,28.9,23.8,13187,0,723,-3,33.86726897,-8.110558148
Precon1,1-Hold,29,23.8,13187,0,719,0,33.90379328,-8.070437302
Precon1,1-Hold,29.1,23.8,13187,0,721,0,33.8751153,-8.096074823
Precon1,1-Hold,29.2,23.8,13187,0,720,0,33.90908656,-7.988777808
Precon1,1-Hold,29.3,23.8,13187,0,719,-1,33.82673549,-8.225167034
Precon1,1-Hold,29.4,23.8,13187,0,720,-1,33.87261761,-8.153158893
Precon1,1-Hold,29.5,23.8,13187,0,721,-5,33.88372487,-8.198956441
Precon1,1-Hold,29.6,23.8,13187,0,718,1,33.90749477,-8.058363311
Precon1,1-Hold,29.7,23.8,13187,0,721,-3,33.94240245,-8.18668854
Precon1,1-Hold,29.8,23.8,13187,0,718,0,33.86789845,-8.111070494
Precon1,1-Hold,29.9,23.8,13187,0,720,-1,33.75148164,-8.117660401
Precon1,1-Hold,30,23.8,13187,0,721,-2,33.89704213,-8.128924967
Precon1,1-Hold,30.1,23.8,13187,0,719,1,33.84196093,-8.092834921
Precon1,1-Hold,30.2,23.8,13187,0,718,1,33.86414232,-8.191440136
Precon1,1-Hold,30.3,23.8,13187,0,720,-1,33.90916283,-8.095216052
Precon1,1-Hold,30.4,23.8,13187,0,718,-3,33.92778448,-8.119447273
Precon1,1-Hold,30.5,23.8,13187,0,717,2,33.86157774,-8.104969863
Precon1,1-Hold,30.6,23.8,13187,0,716,-2,33.92451471,-8.101366772
Precon1,1-Hold,30.7,23.8,13187,0,717,0,33.8993716,-8.080363128
Precon1,1-Hold,30.8,23.8,13187,0,717,-2,33.88235002,-8.18317517
Precon1,1-Hold,30.9,23.8,13187,0,716,-1,33.92597991,-8.048529696
Precon1,1-Hold,31,23.8,13187,0,717,-1,33.8836592,-8.059321915
Precon1,1-Hold,31.1,23.8,13187,0,717,0,33.97067321,-7.993364007
Precon1,1-Hold,31.2,23.8,13187,0,715,1,33.88855902,-8.028305467
Precon1,1-Hold,31.3,23.8,13187,0,716,-2,33.86536753,-8.070800098
Precon1,1-Hold,31.4,23.8,13187,0,717,0,33.9451051,-8.142881042
Precon1,1-Hold,31.5,23.8,13187,0,715,1,33.86287006,-8.092669266
Precon1,1-Hold,31.6,23.8,13187,0,717,-2,33.88549148,-8.150038653
Precon1,1-Hold,31.7,23.8,13187,0,716,-3,33.89968246,-8.036251844
Precon1,1-Hold,31.8,23.8,13187,0,715,-1,33.88520377,-8.076023538
Precon1,1-Hold,31.9,23.8,13187,0,715,-3,33.94106153,-8.088391396
Precon1,1-Hold,32,23.8,13187,0,714,-1,33.95994949,-8.085187242
Precon1,1-Hold,32.1,23.8,13187,0,714,-2,33.8400562,-8.040717252
Precon1,1-Hold,32.2,23.8,13187,0,715,-1,33.86199941,-8.05119853
Precon1,1-Hold,32.3,23.8,13187,0,715,-1,33.85715709,-8.08349245
Precon1,1-Hold,32.4,23.8,13187,0,713,-1,33.82968045,-8.107276747
Precon1,1-Hold,32.5,23.8,13187,0,714,-1,33.80177187,-8.053887671
Precon1,1-Hold,32.6,23.8,13187,0,715,-2,33.84667114,-8.074751718
